id_projeto,id_cliente,nota,comentario
1,440,5,"Consequuntur omnis aliquam libero quae beatae. Suscipit provident veritatis earum.
Libero illo temporibus dolorum atque ea. Molestias provident quidem officia.
Impedit odit ratione dolore reiciendis.
Velit ipsa consequuntur necessitatibus. Repudiandae error vel nam iusto quisquam."
2,2081,4,"Assumenda perferendis iste unde architecto suscipit. Cum ex modi.
Rerum saepe sint facilis. Ab impedit eaque molestias dolorem veritatis adipisci.
Debitis ducimus sint voluptate. A aliquam quasi omnis odio repellat. Repellendus dicta amet voluptatem. Aspernatur optio saepe possimus magni dolorum."
3,886,3,"Recusandae ullam quas placeat magni. Itaque sit animi enim laboriosam ratione quam iste.
Ipsum enim dolor unde. Dignissimos quasi et ipsum mollitia.
Consequuntur reiciendis quo debitis. Sint dicta quasi reprehenderit accusamus. Quae expedita tempore delectus soluta quidem suscipit odit."
4,3518,2,"Assumenda aut suscipit porro voluptas. Hic incidunt repellendus. Deleniti iusto soluta sit.
Illo tenetur quidem vel possimus. Numquam architecto qui voluptas quo.
Rem vero fuga nostrum illo. Nisi modi sapiente necessitatibus doloremque eum omnis."
5,4540,2,"Sed exercitationem nobis veritatis. Vel hic assumenda amet sequi incidunt maxime.
Facere voluptatibus fuga aut unde neque. Corrupti architecto qui quo non beatae. Commodi ut optio laudantium enim excepturi consequatur."
6,4238,3,"Dicta saepe delectus tempora odit accusantium. Reiciendis atque laboriosam soluta. Nihil sapiente maxime tempora.
In cumque ullam ipsam eveniet ea. Doloribus soluta provident optio unde velit temporibus veritatis.
Fuga laborum eos placeat. Labore cum neque quae."
7,455,2,"Laboriosam at saepe fuga fuga repudiandae exercitationem. Inventore delectus possimus vel consectetur praesentium. Accusamus soluta cum cumque tempore beatae.
Ratione vero aliquam vel. Qui voluptate at ipsam. Voluptatibus deserunt minus consectetur assumenda."
8,3776,4,"Accusantium laborum ea numquam consectetur illum aut. Vero nemo voluptas neque numquam quia. Ut assumenda reiciendis dicta.
Quis qui amet incidunt distinctio excepturi possimus. Rerum asperiores explicabo optio perspiciatis atque illo.
Autem ipsam repudiandae expedita maiores. Rerum et earum ad."
9,2590,2,"Nobis sapiente soluta fugiat. Ratione eum aperiam consequatur nam. Reprehenderit deleniti cupiditate assumenda blanditiis tenetur.
Officia sit voluptates quae unde pariatur dignissimos. Ea corporis delectus. Quos provident debitis qui cupiditate saepe."
10,4620,1,"Voluptatum adipisci repellat quo cum placeat libero. In quisquam quidem quam tenetur inventore.
Tenetur nobis nam illum.
Dicta quis fuga architecto. Perferendis doloribus hic dolor natus animi rem. Tempora quisquam ratione nemo vel nemo error aliquid."
11,3613,4,"Ipsa dolorem quasi quaerat voluptatum sit ducimus. Inventore officia modi quia. Rerum veniam dicta vitae exercitationem.
Ratione autem unde soluta porro quam. Molestiae eaque sit aspernatur placeat iure.
Eaque fugit amet ab laboriosam ullam. Quasi quam ad reprehenderit doloribus commodi eveniet."
12,2766,3,"Recusandae quos praesentium nobis cupiditate cum earum. Voluptate reiciendis recusandae ex quaerat nostrum occaecati.
Omnis nesciunt dicta unde esse consectetur. Quibusdam dolores magni et dicta. Itaque minima necessitatibus aliquam."
13,2584,4,"Mollitia architecto eveniet mollitia est. Vitae quod iure aliquam architecto sunt cumque. Assumenda quibusdam veritatis. Recusandae accusamus earum mollitia.
Assumenda laudantium mollitia tempora."
14,3038,3,"Beatae porro nobis quis perferendis accusantium in cumque. Totam quis commodi architecto. Hic at eius alias corrupti at reiciendis. Odio dolorem velit officia.
Quibusdam earum quae reiciendis temporibus praesentium neque. Molestiae inventore ullam eius laboriosam. Ea provident dolores rem."
15,325,4,"Sunt placeat est aperiam.
Possimus quidem distinctio molestias. Ratione quas quod fuga eius.
Similique saepe rerum reprehenderit amet. Minima cum repudiandae ullam minus. Fugit nam aut optio praesentium voluptate magnam. Facere ducimus deleniti expedita voluptatum voluptate."
16,71,3,"Veniam nostrum dignissimos. Excepturi aspernatur laborum debitis.
Ipsa asperiores optio sed aliquam quo. Voluptates fugiat beatae aliquam nesciunt. Iste quidem distinctio."
17,1684,5,"Sunt ea repellendus suscipit. Voluptatibus vitae cupiditate nulla quo. Recusandae iste fugit velit ut.
Totam minus voluptate officiis repellat eum veniam.
Consequatur in inventore error modi praesentium. Non minima ipsam vel. Eius facilis quisquam."
18,1621,3,"Dolorum molestiae nam ullam quis repudiandae non. Laudantium ipsam sint officiis a consequatur harum. Atque esse ad libero ex molestiae doloribus. Ex suscipit amet aliquam quos cumque.
Ullam itaque iure architecto iusto. Laborum error tempore magnam. Velit soluta beatae deleniti."
19,1355,4,"Earum saepe tempora commodi. Blanditiis harum quos porro exercitationem unde. Reprehenderit reiciendis voluptas aut totam impedit suscipit.
Reiciendis eaque iste perspiciatis occaecati voluptate. At ipsa fugit eveniet beatae necessitatibus praesentium."
20,2746,1,"Ducimus quam officiis molestiae. Rem repellendus ut perspiciatis porro labore.
Alias adipisci commodi minima esse. Cumque ex maiores. Nesciunt alias aperiam reiciendis."
21,2026,3,"Quaerat molestiae id consequuntur iusto. Facilis eum voluptas beatae eaque voluptas atque nulla.
Numquam rem ab qui maiores. Nesciunt nulla nesciunt minus. Ducimus asperiores occaecati nostrum eaque unde sit impedit. Consequuntur voluptatum odit aut veritatis accusantium ea."
22,169,2,"Fugiat tempora quisquam molestias sunt. Vel dolor delectus quo. Accusamus quod molestias.
Hic modi fugit vero numquam. Repellendus facilis alias veniam quidem doloribus.
Vel repudiandae possimus nesciunt sapiente tempore. Aspernatur quia voluptates ducimus vero non."
23,1138,5,"Placeat molestiae laborum. Iusto officia id aut explicabo aspernatur nemo.
Ducimus molestiae rem qui quis fuga. Dicta voluptatem accusamus recusandae maxime architecto iusto.
Eaque amet quidem rem nisi et. Quam molestias maxime hic molestiae. Impedit minus minus omnis mollitia laudantium."
24,4194,1,"At explicabo eius nesciunt. Et possimus recusandae fuga.
Quidem quibusdam nesciunt mollitia. Ducimus labore magni magnam esse. Officiis facere tempora aliquid. Corporis id maxime pariatur cum consectetur molestias dolorem."
