id_projeto,id_freelancer,nota,comentario
1,2855,5,Velit quasi harum assumenda nesciunt. Pariatur illum ad illum est beatae suscipit facere. Enim quae vitae ad incidunt culpa. Voluptate hic voluptatem occaecati officia dolores.
2,260,3,"Nam fugit ad qui voluptatem fugit quam. Voluptatem nostrum quaerat officia exercitationem cum.
Ducimus pariatur dignissimos maiores. Minima sit distinctio eius. Optio quam quaerat provident alias voluptates nesciunt."
3,1684,4,"Iste ratione perferendis esse.
Numquam id voluptatem delectus dolor in ratione alias. Porro neque commodi fugit voluptates impedit amet quod. Veritatis doloribus animi maxime doloribus tenetur.
Repellat tempora quae. Exercitationem quas eum."
4,158,4,"Voluptatum neque reiciendis aliquam. Aspernatur quis atque nulla ut optio eos.
Quos quasi dolorum laboriosam labore incidunt. Dolores error laboriosam quasi cupiditate velit nulla error. Vel distinctio minus."
5,191,1,"Quibusdam commodi sed officia dignissimos nisi. Asperiores aliquid architecto nobis itaque velit maxime. Numquam nostrum culpa vitae quisquam nihil aperiam. Labore accusantium esse at dolorem pariatur porro.
Quas maiores sequi facilis cupiditate. Deserunt totam adipisci at."
6,868,3,"Nihil eos ab dolor. Voluptatum quasi atque recusandae nemo ratione. Amet at soluta non asperiores.
Officia laboriosam impedit odit culpa. Consequuntur saepe temporibus natus beatae laborum suscipit. Eveniet voluptatibus corporis quos magnam libero fugiat."
7,1120,3,"Harum amet minima consequatur blanditiis quia. Temporibus commodi repellendus nemo ratione quisquam molestiae ut. Accusamus vitae temporibus dicta laborum.
Dolores commodi officia corporis nihil porro. Vitae neque commodi quaerat. Fuga fuga accusantium consequuntur repellat perferendis expedita."
8,2597,1,"Placeat et minima perferendis ipsum. Architecto dicta nobis nisi. Culpa dolorem accusamus natus quaerat possimus occaecati ab.
Quibusdam sit dolorem rerum hic. Esse magni consequatur recusandae. Quibusdam explicabo doloribus.
Nemo atque assumenda facere nisi autem at."
9,1013,5,"Ut odio minus enim dicta vitae. Voluptate nisi laborum iure odio doloremque. Nihil facilis autem saepe voluptatum nobis autem.
Assumenda veritatis fuga accusamus molestias quis. Nostrum officiis consectetur tenetur repellat eius dolor fuga."
10,2234,2,"Iure pariatur necessitatibus illum error deleniti maxime.
Sed inventore commodi occaecati.
Veniam repellendus numquam expedita. Consequuntur facere a possimus debitis at.
Libero ad aut quod. Ex id facilis corrupti quasi nostrum non."
11,416,1,"Nam quos cumque qui. Iure aliquam magni dolor. Aut aspernatur ad dicta.
Expedita molestias odio ad qui vitae. Debitis qui nisi alias illum cumque dolor.
Fuga magnam corporis dolorum eos ea aliquam. Nihil perspiciatis at illo rem eius eius. Voluptatibus impedit amet."
12,2507,5,"Adipisci sunt optio ipsam. Cumque quis asperiores nostrum.
Quos provident quis illo reprehenderit. Mollitia dolores ratione dolor voluptatum.
Esse totam error quibusdam. Occaecati est possimus reprehenderit quasi.
Impedit sint doloremque minima similique eius placeat."
13,394,5,"Exercitationem vero dolor iure et similique.
Quae veritatis hic molestias impedit. Natus possimus eius veritatis eaque perferendis.
Culpa incidunt at fugit laudantium unde. Quaerat temporibus nemo ullam rem eius cumque quod."
14,464,1,Consectetur natus praesentium cum quis illo quod. Voluptatum praesentium quod tenetur eaque voluptatum recusandae. Consequatur mollitia laudantium quod quisquam.
15,2136,1,"Unde et quia aut voluptate sapiente molestiae eius. Occaecati veniam fugit. Suscipit illum inventore debitis ratione modi repellat officia. Minus debitis totam accusantium.
Accusantium aspernatur commodi laboriosam veritatis. Aspernatur quo dignissimos saepe animi itaque rerum consequatur."
16,2870,5,"Facere ipsa qui autem blanditiis. Eius enim eos maxime alias sequi quam recusandae.
Ut a repudiandae hic. Reprehenderit voluptate fugit occaecati. Magnam doloremque illo quisquam dolore.
Non animi iure praesentium animi a et."
17,123,4,"Illum aliquid fugiat fuga ratione. Odio suscipit expedita doloribus sit iusto.
Porro excepturi tempora animi modi iste. Iure at vel reprehenderit error.
Illo suscipit quisquam sint. Repellat et dolore delectus."
18,650,2,"Soluta nostrum doloremque. Ad aspernatur ipsam quisquam assumenda.
Ipsa molestiae assumenda magnam nesciunt. Exercitationem autem natus.
Molestias vel quam soluta officiis sunt ullam. Ipsa doloremque corrupti eveniet."
19,2241,4,"Ipsum quod iure unde eligendi molestiae. Modi fuga natus voluptatum sunt. Perferendis deserunt magnam cum illo nesciunt.
Modi esse minus. Fugiat ratione fugiat aliquid. Magni voluptatem eos nemo vitae.
Quibusdam officiis nisi ducimus ad sequi. Maxime itaque impedit sint."
20,305,5,"Sit architecto occaecati a debitis.
Vero inventore distinctio dolorum. Voluptatibus repudiandae animi voluptates at repellat ea. Incidunt quis hic voluptates assumenda."
21,1582,4,"Ipsa id dolor labore at perferendis recusandae. Consectetur autem exercitationem laborum recusandae inventore impedit excepturi.
Totam occaecati qui eligendi aperiam. Earum dolore veniam occaecati neque libero. Esse autem tempora cum inventore fuga atque facilis."
22,2402,4,"Pariatur asperiores itaque ex sequi quam. Nihil tempora nulla deserunt earum.
Aspernatur sit autem accusamus ea nihil odit laborum. Aut non nulla ipsum accusantium ducimus. Dignissimos commodi atque aliquid rerum placeat quod."
23,1636,5,"Dignissimos repudiandae fugiat at autem ducimus.
Soluta sequi quas sed. Velit qui perspiciatis est. Officia sint et culpa maxime blanditiis.
Ipsa inventore iste rerum recusandae ut corrupti. Atque cum nobis ducimus doloremque ipsam. Sunt veritatis incidunt quaerat."
24,1471,3,"Deserunt dignissimos porro accusamus maxime. Quia quo deleniti nulla nemo cumque laboriosam.
Quisquam temporibus ex molestias saepe illo voluptate. Quas vel ab fugit nulla. Libero incidunt ipsam atque ad eos.
Maxime ex mollitia neque omnis nisi."
25,2809,3,"Consequatur vitae eligendi laboriosam. Quos amet consequuntur magni ipsum animi.
Harum porro similique quos atque deserunt. Atque aliquid esse culpa voluptatem possimus dolores.
In nam sint occaecati dolorem rerum doloribus distinctio. In at laudantium. Aliquam deserunt sit quae."
26,1984,4,"Quae dicta beatae aliquid ut aperiam. Eligendi est incidunt itaque. Nemo nulla consequatur debitis aliquid. Doloribus inventore aspernatur error.
Quae magni enim placeat."
27,1746,2,"Aliquid aspernatur praesentium mollitia maiores temporibus.
Nihil ad voluptatibus consequuntur incidunt asperiores. Praesentium itaque totam quia est id. Nam mollitia exercitationem vero ducimus dolorem neque fugiat.
Voluptate molestias error facilis."
28,624,5,Sit eum officiis asperiores nam inventore. Quibusdam illo neque. Distinctio nihil dignissimos veniam ea harum possimus. Magni expedita atque tenetur sint est laudantium culpa.
29,1037,5,"Sed itaque nisi architecto voluptatem quidem. Eveniet similique odio amet ducimus officia. Et facilis alias nam sapiente vero assumenda.
Repudiandae iusto earum vero eaque ad corrupti. Aperiam magnam praesentium recusandae ipsum vitae officiis."
30,1800,1,"Quos quia provident aliquam reprehenderit. Odit iure corrupti. Unde natus odio natus debitis deserunt velit.
Blanditiis reiciendis ipsum labore. Magni numquam fuga ea doloribus aliquid. Repellat reiciendis quia nemo explicabo."
31,232,5,"Asperiores fugiat sequi ratione. Veritatis maiores sunt recusandae. Veniam eius quia exercitationem reprehenderit nemo suscipit.
Nam in quaerat vel minus. Officia similique unde dicta. Rem quisquam praesentium cumque iste quae."
32,1084,4,"Non iure fugiat. Aut consequatur quis suscipit. Dolorum amet dolore odio.
Doloremque quod necessitatibus repellendus est reprehenderit illum.
Perspiciatis nam error nisi quas incidunt fugit. Animi placeat quam.
Harum harum quas consectetur sint aspernatur fugiat."
33,1976,1,"Doloremque consectetur omnis hic doloremque. Natus accusamus voluptate repellat. Minima saepe harum quos.
Debitis cumque enim mollitia nisi quo atque.
Magnam excepturi quibusdam quae. Porro quia occaecati dolores aliquam."
34,907,4,"Eos at voluptates officiis facilis consequuntur saepe cum. Sed officiis blanditiis autem totam.
Officia sequi impedit dicta beatae ducimus. Cupiditate optio nostrum architecto. Amet modi maxime dicta deserunt. Accusantium molestiae assumenda eos occaecati."
35,398,4,"Veniam incidunt nemo quo. Laborum ea eum consequuntur ab in ducimus laudantium.
Perferendis perferendis nihil itaque ipsum. Placeat voluptatibus dolor. Blanditiis suscipit ipsum adipisci.
Nam porro nisi debitis ex suscipit velit. Sunt saepe labore autem placeat nostrum."
36,879,2,Maxime nesciunt veniam a voluptates. Ea magni saepe dolorum porro laboriosam dolorum sapiente. Molestiae sunt esse quisquam corporis quasi vel.
37,2949,3,"Ea magni nisi dolorum. Mollitia dolorem odio. Incidunt facere possimus veritatis.
Ut dignissimos consequuntur aut quis. Ratione ea incidunt cupiditate. Tempore fugiat quo in velit magnam quasi. Accusamus incidunt asperiores aperiam.
Nobis id pariatur blanditiis corrupti. Incidunt eveniet veritatis."
38,1031,3,"Sed quo eveniet et laudantium veniam. Nihil quia at tempora officia.
Ea quos modi officiis.
Libero praesentium deserunt repudiandae. Animi expedita quas perspiciatis. At saepe impedit quaerat hic reprehenderit aperiam."
39,122,5,"Soluta debitis facilis corrupti quidem eos.
Similique laboriosam ratione amet cupiditate nihil.
Iste illum delectus. Doloremque molestias necessitatibus nisi deserunt eum distinctio. Praesentium earum recusandae cupiditate non."
40,2283,3,"Animi deserunt sit eum voluptate. Esse illum laboriosam. Minus exercitationem possimus doloribus.
Eum mollitia voluptatem pariatur. Fuga nulla culpa quos.
Eius laudantium voluptatem eaque asperiores earum."
41,223,5,"Veritatis pariatur possimus voluptate. Culpa ut odit. Consequatur est magni distinctio.
Consequuntur eaque aperiam aut omnis. Sunt aperiam sunt neque odio odio voluptas molestiae. Ad repellat soluta perferendis similique officiis modi itaque."
42,551,3,"Harum dolorem accusantium nulla. Assumenda temporibus quibusdam eaque neque dolore incidunt.
Sit rem debitis officia ratione ullam sunt. Adipisci repudiandae nam dolorum. Velit tempora quas omnis."
43,1334,5,"Magni aperiam atque vitae molestias molestiae delectus. Laboriosam amet tempore magni ratione autem illo porro. Corrupti nobis accusantium commodi.
Id voluptatibus ducimus commodi. Accusantium reprehenderit blanditiis assumenda quos. Voluptatibus ut ducimus rerum."
