id,id_cliente,id_categoria,status_projeto,titulo,descricao,orcamento
1,1,5,Aberto a Propostas,Similique Ratione Solução,Rerum itaque dolorum libero. Sint aperiam cumque enim rerum iure impedit.,993.41
2,2,10,Projeto em Execução,Dolorem Incidunt Projeto,"Eos minus qui. Ipsam qui aliquam excepturi eius tenetur cumque assumenda. Dicta sequi in voluptate odio.
Dolorum dignissimos asperiores. Quis quos magni vero minima quae veritatis.",549.68
3,3,8,Projeto em Execução,Eveniet Magnam Projeto,Et illo pariatur ex tempora ex. Magni eaque impedit eveniet corporis ex magnam. Nisi placeat amet eum ipsa cupiditate porro.,810.71
4,4,1,Aberto a Propostas,Nihil Quidem Projeto,Deserunt laboriosam eum reiciendis architecto tempora quo incidunt. Eos reprehenderit rerum. Quo aliquam assumenda porro ipsa.,12.38
5,5,4,Projeto Cancelado,Officia Laborum Plataforma,Doloribus reiciendis quos nesciunt natus. Maiores rem quos dicta nobis tenetur dolorem consequatur. Dicta animi modi quibusdam voluptatum.,442.73
6,6,4,Projeto em Execução,Inventore Quisquam Sistema,Adipisci libero iure necessitatibus neque architecto ad nesciunt. Praesentium aliquid quia labore.,312.93
7,7,10,Projeto Cancelado,Eaque Expedita Plataforma,Dignissimos odit culpa cupiditate. Dolor numquam quae nemo nihil iure explicabo. Odio repellendus id similique. Saepe illo corporis molestias necessitatibus et quam.,470.78
8,8,5,Projeto Concluído,Inventore Ad Sistema,"Occaecati nostrum minima iure repellendus. Porro impedit accusamus dignissimos porro.
Fuga perferendis ab necessitatibus veritatis placeat. Nam distinctio occaecati laboriosam culpa.",288.67
9,9,5,Projeto Concluído,Ratione Consequatur Projeto,"Quisquam maiores libero. Nam quo autem neque ab rem.
Officiis quae vero rerum aperiam. Est doloremque facilis earum.
Repudiandae earum nobis. Pariatur ipsum molestiae consectetur facere quidem natus.",978.07
10,10,3,Aberto a Propostas,Placeat Tenetur Solução,"Debitis odio enim cum animi in perspiciatis. Pariatur beatae inventore consequatur inventore ipsam.
Deleniti mollitia ab placeat. Odio provident natus quia consequuntur facere beatae.",416.06
11,11,6,Projeto Concluído,Fuga Recusandae Projeto,Quo sint quidem ipsam ipsum cumque. Deleniti maiores dicta magnam natus culpa maiores dolorem. Delectus deleniti repellendus molestiae totam.,773.35
12,12,9,Projeto Cancelado,Explicabo Nostrum Plataforma,Qui repudiandae quidem nobis. Reprehenderit error quo libero inventore nulla. Voluptas expedita magnam dolores.,952.11
13,13,9,Projeto em Execução,Earum Dolor Solução,"Tempora debitis aliquam. Amet nostrum unde.
Dignissimos quasi fugiat facilis. Earum illum cumque autem illum exercitationem.",515.59
14,14,8,Aberto a Propostas,Amet Animi Solução,Mollitia autem consequatur iure. Vero reprehenderit molestias quia quisquam vero.,481.57
15,15,3,Projeto Concluído,Fugit Deleniti Solução,Voluptates deserunt eligendi voluptate. Quia sapiente officia labore dolore commodi minus. Eum atque veritatis rerum.,630.63
16,16,4,Projeto em Execução,Fuga Vitae Plataforma,Culpa iusto iusto quibusdam saepe esse qui. At nihil dolorem quae. Aperiam perspiciatis asperiores.,934.61
17,17,7,Aberto a Propostas,Distinctio Vitae Solução,"Perferendis quibusdam doloremque quod officiis atque.
Harum enim eveniet asperiores officiis magni. Delectus ex doloremque in harum tenetur doloribus.",646.06
18,18,10,Projeto Concluído,Nesciunt Magni Sistema,"Est quo fugit odio quas ullam.
Natus ea quo ad illum. Adipisci rerum laborum ullam cumque odio neque vitae. Architecto corporis ea eius voluptates a.",829.10
19,19,10,Projeto em Execução,Commodi Culpa Sistema,Nobis eaque minus corrupti nemo. Et rem minima laudantium iusto consectetur. Velit quam perferendis libero illo earum culpa.,194.56
20,20,3,Projeto em Execução,Recusandae Cum Sistema,"Voluptatibus perferendis rem iure quas repellat magni. Quae est vitae accusantium.
Sequi harum assumenda reiciendis.",838.28
21,21,2,Aberto a Propostas,Quae Nisi Sistema,"Culpa similique natus blanditiis tenetur optio quisquam ipsam. Minima distinctio pariatur.
Vel culpa esse occaecati maiores. Quis totam totam optio.",382.44
