id,id_projeto,id_freelancer,status_proposta,valor_proposta,prazo_entrega,descricao
1,1,2698,Recusada,2044.38,2025-05-14 17:24:48,"Dolor iste vel cupiditate dignissimos. Fugit exercitationem deserunt fugit earum. Dignissimos nesciunt nesciunt. Eum repudiandae odio fugiat maxime.
Eaque rem ad eum.
Dolor blanditiis error ipsa. Neque veniam sapiente similique possimus impedit quia. Minus quas natus eaque omnis earum laboriosam."
2,2,2519,Aceita/Em Andamento,7236.73,2025-05-20 13:09:26,"Iste tempore saepe a corrupti enim voluptatum. Dignissimos sit similique. Perspiciatis illo nemo fugiat corrupti facilis.
Commodi quaerat esse nam commodi aperiam.
Voluptate consequuntur iste esse architecto natus. Hic voluptatum unde accusantium."
3,3,803,Aceita/Em Andamento,3757.92,2025-05-20 00:50:41,"Fugit consequatur quisquam aperiam numquam beatae esse. Molestias beatae aliquam fugiat ullam occaecati inventore. Atque harum eaque nostrum.
Recusandae quaerat asperiores optio porro animi amet exercitationem. Harum inventore expedita sunt corporis voluptates."
4,4,2891,Pendente,2221.81,2025-05-13 16:39:18,"Asperiores reprehenderit quidem dolorum earum totam consequuntur atque. Deleniti iusto quas ex voluptatem animi.
Minima provident officia perspiciatis. Adipisci sunt tempore accusamus expedita exercitationem rerum voluptatum. Ea fugit voluptatem hic vel."
5,5,34,Cancelada,563.29,2025-05-10 09:45:25,"Quisquam ab voluptate reiciendis quidem. Molestias a doloribus. Nulla molestias voluptatem aperiam eaque. Alias consequuntur magnam repellendus maxime culpa similique rerum.
Perferendis vero dolore vero."
6,6,1861,Aceita/Em Andamento,6836.45,2025-05-10 13:48:54,"Minus quia voluptas quas nostrum placeat reprehenderit. Ea voluptatibus inventore repudiandae.
Aliquam dolor tempora. Quisquam rem placeat fugit repellat consequuntur. Maiores amet quibusdam cupiditate iusto occaecati neque enim.
Incidunt veritatis voluptatem iusto dolore tempore. Quisquam harum recusandae totam atque consequatur."
7,7,1468,Cancelada,5349.97,2025-05-18 21:16:41,"Atque fugiat fugiat enim at. Recusandae eos cumque hic.
Mollitia neque blanditiis. Hic eum consequatur dolorem.
Laudantium repellat quos. Quis aliquam inventore reprehenderit iure odit aperiam. Provident ad voluptate nemo magni ea."
8,8,2340,Aceita/Finalizada,163.83,2025-05-10 16:20:03,"Voluptates laborum vitae. Quibusdam quod et doloremque ad mollitia natus. Iste mollitia doloribus inventore tempora.
Debitis ipsa minus deleniti beatae ratione. Consequatur explicabo temporibus praesentium recusandae reiciendis.
Distinctio quis magni cum earum officiis.
Reprehenderit enim architecto. Libero facere rerum nam amet perspiciatis."
9,9,1959,Aceita/Finalizada,8235.00,2025-05-14 07:59:40,"Labore dignissimos modi doloremque natus harum dolorum. Aut impedit veniam aliquam. Veniam sapiente eligendi quisquam eligendi.
In consectetur voluptates sapiente. Ad doloremque eligendi distinctio laboriosam necessitatibus.
Debitis eum nesciunt. Veritatis sunt eos nobis ut a eveniet. Sequi pariatur aliquid laboriosam itaque dolorem."
10,10,1766,Recusada,3713.98,2025-05-20 02:48:28,"Alias possimus iure vero.
Praesentium ullam enim maxime dicta. Esse veniam officiis nisi provident. Voluptatum qui expedita veniam cum.
Recusandae fuga eaque laboriosam omnis dolor culpa. Reprehenderit ducimus facere assumenda repellendus porro."
11,11,2743,Aceita/Finalizada,9118.58,2025-05-10 14:29:23,"Delectus delectus officiis doloribus molestias exercitationem suscipit. Cumque quisquam omnis dolore culpa voluptatibus quas necessitatibus. Eveniet eius inventore. Itaque perspiciatis saepe eius vitae quis.
Vero quo blanditiis. Ipsum nam quod odit velit.
Quam ad explicabo ipsum. Consequatur sit iure."
12,12,2694,Cancelada,9298.04,2025-05-19 01:41:46,"Quidem pariatur possimus occaecati repellendus deserunt voluptate deserunt. Ex aliquid porro ab in ratione doloribus. In iure similique aperiam cumque.
Debitis temporibus dignissimos sit rem. Fuga quis cumque reprehenderit sequi aliquam. Mollitia reiciendis voluptatum deleniti harum."
13,13,2308,Aceita/Em Andamento,3659.41,2025-05-10 11:04:25,"Molestiae hic veritatis sint corrupti fugit. Autem maiores voluptatem perspiciatis.
Doloremque explicabo repellendus reiciendis. Maiores inventore necessitatibus dolore sequi similique.
Adipisci temporibus et earum. Rem ea aut maiores ratione provident magnam ipsam. Laudantium corrupti modi."
14,14,1727,Recusada,2410.59,2025-05-11 08:25:56,"Aspernatur totam laudantium. Enim reprehenderit recusandae consectetur quisquam. Sint consequatur voluptate labore dolorum sapiente mollitia.
Cum tenetur harum voluptatum incidunt corporis. Quaerat earum quaerat ab eveniet. Velit repellendus a."
15,15,2066,Aceita/Finalizada,997.67,2025-05-16 12:52:23,"Omnis repellendus reprehenderit nam. Ipsam numquam quibusdam pariatur quam praesentium eaque.
Sint facere consequatur laborum provident laboriosam aspernatur. Quibusdam consectetur sequi.
Quis adipisci iusto molestiae explicabo iure. Reprehenderit quis beatae ipsum quos. Nisi porro dolorum molestiae."
16,16,2535,Aceita/Em Andamento,2711.47,2025-05-17 03:16:44,"Porro labore mollitia iste. Blanditiis modi laboriosam ullam saepe corporis. Quaerat excepturi nihil adipisci iure magni at.
Voluptatum odio corporis itaque expedita. Eveniet a expedita harum ratione. Enim quod eius voluptatem pariatur.
Iure tempora error assumenda ipsa.
Accusamus temporibus architecto necessitatibus in."
17,17,686,Pendente,751.30,2025-05-16 00:01:57,"Sint commodi magnam dolorem placeat laborum. Accusantium assumenda placeat mollitia. Ipsum voluptatem consequuntur.
Tempora accusamus sint fuga. Eos officia debitis atque repellat. Eligendi ipsa facere voluptatem. Impedit laudantium libero dolore repellat corporis neque magni."
18,18,1755,Aceita/Finalizada,651.97,2025-05-13 11:22:46,"Dolore corrupti vero porro. Quibusdam dicta rem vero mollitia. Delectus veniam doloremque repudiandae quibusdam.
Suscipit esse quas numquam magni amet. Id sit neque magnam recusandae dolorem amet tempore.
Est voluptas soluta quas adipisci.
Labore quo corrupti corrupti optio. Dignissimos aliquid animi. Nesciunt dolores ab corrupti."
19,19,429,Aceita/Em Andamento,4975.86,2025-05-20 14:46:12,"Architecto et debitis consequatur numquam. Inventore officia facere aliquam. Necessitatibus placeat quibusdam eius eos consequatur optio.
Iure unde cupiditate consequuntur praesentium iusto architecto. Repudiandae sint necessitatibus dolore officiis. Dolorum fugit beatae molestiae. Quibusdam quas eveniet iusto debitis laborum maiores."
20,20,2402,Aceita/Em Andamento,8599.12,2025-05-14 15:17:34,"Iusto distinctio rerum nihil ut. Veritatis minima dignissimos porro officia voluptatum sit.
Repudiandae odit neque facilis cum. Quaerat voluptates fugit sapiente maxime accusamus dicta.
Necessitatibus accusamus ab sed aperiam. Alias officiis illum perferendis voluptatibus animi id."
21,21,252,Pendente,6787.94,2025-05-10 20:37:18,"Soluta mollitia nisi explicabo.
Similique eius quaerat vel earum est animi. Magnam totam veniam autem ipsum esse doloremque ipsa. Beatae ipsa tenetur neque consectetur iure.
Ab laborum eos ex quam veniam. Mollitia eveniet amet voluptatem modi.
Quod ipsa molestiae cumque esse veritatis sequi."
22,22,1869,Aceita/Finalizada,1125.04,2025-05-10 05:52:32,"Incidunt maiores iure similique. Ipsam eos nihil dolorum. Labore et aperiam eum nesciunt libero.
Nobis debitis ad sequi deserunt. Quae beatae ut cum saepe. Rem unde consequatur optio hic accusantium.
Sequi repudiandae itaque maxime ratione deleniti quod a. Officia neque quasi. Voluptates unde eum quidem suscipit. Rerum sed id."
23,23,2629,Recusada,6409.16,2025-05-11 13:52:34,"Occaecati maiores explicabo cum.
Accusantium reprehenderit assumenda facere corporis nostrum.
Animi recusandae minima nesciunt placeat nulla vitae. Repellat sit ad sapiente accusantium libero iure.
Recusandae nisi culpa eligendi aliquid dolor corrupti. Fugit dignissimos nemo consequatur iure sunt. Repudiandae sunt facilis adipisci."
24,24,2041,Recusada,9034.33,2025-05-19 05:48:42,"Tempora eveniet totam nam quo tenetur delectus. Optio quisquam soluta laudantium fugiat optio occaecati enim.
Aperiam in velit dolorem quo dolorum tempora. Adipisci molestias perferendis repellendus non harum nihil. Saepe quae harum quis atque.
Cum odio corporis et. Rem voluptas aliquam quod maxime."
25,25,445,Aceita/Finalizada,8617.04,2025-05-18 13:12:36,"Eius minus facere quibusdam rem enim possimus vero. Sapiente vero tempore adipisci.
Laudantium hic doloremque iste dolores doloremque quos. Placeat soluta aut beatae minima.
Eius ut ducimus dolorum. Pariatur iure beatae aliquam quasi placeat soluta occaecati.
Sunt ratione illum quia eius."
26,26,1882,Recusada,9111.49,2025-05-12 09:55:17,"Repellendus repellat aut. Voluptatum nesciunt doloribus nihil nisi quisquam mollitia.
Labore sint assumenda officiis inventore fugiat. Possimus placeat ducimus accusantium cumque eius. Eius blanditiis iusto necessitatibus necessitatibus neque cupiditate."
27,27,635,Aceita/Em Andamento,1110.12,2025-05-17 18:32:15,"Culpa qui maiores excepturi. Facilis sit fugit quidem inventore nemo a.
Repellat exercitationem quae omnis ducimus incidunt. Doloribus cum impedit velit vel aspernatur officia. Dolor dicta cum et natus eos culpa.
Beatae dolor at doloribus nostrum officiis. Quae cum voluptate dolores."
